BLOCK ram          0x01100000..0x011a863f  total=689728  code=435792 (63.18%)  data=172545 (25.02%)  undef=81391 (11.80%)

TOTAL total=689728  code=435792 (63.18%)  data=172545 (25.02%)  undef=81391 (11.80%)
FUNCTIONS 1686

UNDEFINED RUNS: 3448 (largest first)
  0x0118d5d0  len=11426
  0x01197630  len=7972
  0x0116deff  len=3725
  0x011969f0  len=3128
  0x01190688  len=3040
  0x01100120  len=2660
  0x011715c2  len=2206
  0x0116fe28  len=1632
  0x0116f774  len=1396
  0x0118c85c  len=928
  0x0119d4e8  len=872
  0x0118d1d0  len=752
  0x0116f0b0  len=584
  0x01190430  len=576
  0x01171ea7  len=561
  0x011918a6  len=522
  0x0116fcf8  len=303
  0x0119a64c  len=262
  0x01172555  len=255
  0x011902d9  len=255
  0x0119ca04  len=244
  0x01199568  len=240
  0x01100fe8  len=236
  0x01171484  len=236
  0x01191cfc  len=236
  0x01191abc  len=188
  0x01191b7c  len=188
  0x01191c3c  len=188
  0x0119d8d8  len=176
  0x01195b99  len=171
  0x011011cc  len=140
  0x0116f44c  len=132
  0x0116f5dc  len=132
  0x011a4f58  len=128
  0x01116210  len=120
  0x0119cb80  len=120
  0x0119cc80  len=120
  0x0119c6f0  len=112
  0x0116b4b8  len=104
  0x01172140  len=104
  0x0119d860  len=104
  0x011a4928  len=104
  0x011a4c28  len=104
  0x011a4ca0  len=104
  0x01117664  len=100
  0x0119c610  len=96
  0x0119c688  len=96
  0x0119c778  len=96
  0x01172658  len=93
  0x0116f4d4  len=92
  0x0116f664  len=92
  0x01199d80  len=88
  0x01101114  len=84
  0x0116f394  len=84
  0x0118d4d8  len=80
  0x0119a260  len=80
  0x0119c800  len=80
  0x0118cd10  len=72
  0x011162a4  len=68
  0x011917a0  len=64
  0x01191f50  len=64
  0x01192940  len=64
  0x01194538  len=64
  0x0119c878  len=64
  0x011000d4  len=60
  0x01171e64  len=60
  0x0119a755  len=59
  0x011176e4  len=56
  0x011720f8  len=56
  0x01195c50  len=56
  0x0119cb40  len=56
  0x0119cc40  len=56
  0x011a1ef8  len=56
  0x011a4a18  len=56
  0x011a4af0  len=56
  0x011a4e08  len=56
  0x011a4f10  len=56
  0x0116f3ec  len=52
  0x0119304c  len=52
  0x01190273  len=50
  0x01195c90  len=48
  0x01195cc8  len=48
  0x01195d00  len=48
  0x0118aeeb  len=47
  0x011013dc  len=44
  0x0116f34c  len=44
  0x0116f744  len=44
  0x0118328d  len=42
  0x0117bcbb  len=41
  0x01187539  len=41
  0x011917e8  len=40
  0x01191818  len=40
  0x01191878  len=40
  0x01193a58  len=40
  0x01193bd8  len=40
  0x011943e8  len=40
  0x011959e8  len=40
  0x0116f6e4  len=36
  0x0118ade9  len=34
  0x01180a80  len=33
  0x011796bd  len=32
  0x0118cd60  len=32
  0x01191e10  len=32
  0x01191e60  len=32
  0x011927e8  len=32
  0x011929a8  len=32
  0x011953e0  len=32
  0x011955c0  len=32
  0x01195d70  len=32
  0x01195d98  len=32
  0x01195dc0  len=32
  0x01195de8  len=32
  0x01195e10  len=32
  0x01195e38  len=32
  0x01195e60  len=32
  0x01195e88  len=32
  0x01195eb0  len=32
  0x01195ed8  len=32
  0x01195f00  len=32
  0x01195f28  len=32
  0x01195f50  len=32
  0x01195f78  len=32
  0x01195fa0  len=32
  0x01195fc8  len=32
  0x01195ff0  len=32
  0x01196018  len=32
  0x01196040  len=32
  0x01196068  len=32
  0x01196090  len=32
  0x011960b8  len=32
  0x011960e0  len=32
  0x01196108  len=32
  0x01196130  len=32
  0x01196158  len=32
  0x01196180  len=32
  0x011961a8  len=32
  0x011961d0  len=32
  0x011961f8  len=32
  0x01196220  len=32
  0x01196248  len=32
  0x01196270  len=32
  0x01196298  len=32
  0x011962c0  len=32
  0x011962e8  len=32
  0x01196310  len=32
  0x01196338  len=32
  0x01196360  len=32
  0x01196388  len=32
  0x011963b0  len=32
  0x011963d8  len=32
  0x01196400  len=32
  0x01196428  len=32
  0x01196450  len=32
  0x01196478  len=32
  0x011964a0  len=32
  0x011964c8  len=32
  0x011964f0  len=32
  0x01196518  len=32
  0x01196540  len=32
  0x01196568  len=32
  0x01196590  len=32
  0x011965b8  len=32
  0x011965e0  len=32
  0x01196608  len=32
  0x01196630  len=32
  0x01196658  len=32
  0x01196680  len=32
  0x011966a8  len=32
  0x011966d0  len=32
  0x011966f8  len=32
  0x01196720  len=32
  0x01196748  len=32
  0x01196770  len=32
  0x01196798  len=32
  0x011967c0  len=32
  0x011967e8  len=32
  0x01196810  len=32
  0x01196838  len=32
  0x01196860  len=32
  0x01196888  len=32
  0x011968b0  len=32
  0x011968d8  len=32
  0x01196900  len=32
  0x01196928  len=32
  0x01196950  len=32
  0x01196978  len=32
  0x011969a0  len=32
  0x011969c8  len=32
  0x0119a2f0  len=32
  0x0119a358  len=32
  0x0119a3b0  len=32
  0x0119a408  len=32
  0x0119a460  len=32
  0x0119a4b8  len=32
  0x0119a510  len=32
  0x0119a568  len=32
  0x0119b658  len=32
  0x0119cb10  len=32
  0x0119cd98  len=32
  0x0119d9e0  len=32
  0x0119da10  len=32
  0x0119da40  len=32
  0x0119da70  len=32
  0x0119e2f8  len=32
  0x0119ea60  len=32
  0x0119ed18  len=32
  0x0119ee98  len=32
  0x0119f6d8  len=32
  0x0119f918  len=32
  0x0119fa20  len=32
  0x0119fc00  len=32
  0x0119fd68  len=32
  0x011a0158  len=32
  0x011a1b38  len=32
  0x011a3638  len=32
  0x011a4730  len=32
  0x011a4790  len=32
  0x011a4850  len=32
  0x011a4880  len=32
  0x011a48b0  len=32
  0x011a49d0  len=32
  0x011a4a60  len=32
  0x011a4a90  len=32
  0x011a4ac0  len=32
  0x011a4b50  len=32
  0x011a4b80  len=32
  0x011a4bc8  len=32
  0x011a4d48  len=32
  0x011a4dc0  len=32
  0x011a4e80  len=32
  0x011a4eb0  len=32
  0x011a5000  len=32
  0x011a5048  len=32
  0x011a50d8  len=32
  0x011a5228  len=32
  0x011a5288  len=32
  0x011a59a8  len=32
  0x011a60c8  len=32
  0x011a6db8  len=32
  0x011a6e78  len=32
  0x011a6f38  len=32
  0x011a7118  len=32
  0x011a7298  len=32
  0x011a7358  len=32
  0x011a7c58  len=32
  0x011a81f8  len=32
  0x011a8228  len=32
  0x011a8288  len=32
  0x011a84c8  len=32
  0x0118cc5c  len=31
  0x01107848  len=28
  0x0112dcb4  len=28
  0x01178a5c  len=28
  0x01182aba  len=27
  0x01195b7d  len=27
  0x011902bf  len=25
  0x0117c999  len=24
  0x0118cda0  len=24
  0x0118cdd8  len=24
  0x0118ce10  len=24
  0x0118ce48  len=24
  0x0118ce80  len=24
  0x0118d540  len=24
  0x0118d560  len=24
  0x0118d580  len=24
  0x01191e40  len=24
  0x01191e88  len=24
  0x01192908  len=24
  0x01193560  len=24
  0x011942c8  len=24
  0x01194438  len=24
  0x011945f0  len=24
  0x01194610  len=24
  0x01194aa8  len=24
  0x01194b68  len=24
  0x01195a28  len=24
  0x01195d48  len=24
  0x01199680  len=24
  0x011996a0  len=24
  0x011996c0  len=24
  0x011996e0  len=24
  0x01199700  len=24
  0x01199720  len=24
  0x01199740  len=24
  0x01199760  len=24
  0x01199780  len=24
  0x011997a0  len=24
  0x011997c0  len=24
  0x011997e0  len=24
  0x01199800  len=24
  0x01199820  len=24
  0x01199840  len=24
  0x01199860  len=24
  0x01199880  len=24
  0x011998a0  len=24
